Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",9,118.463733938s,118.462966594s,9.839576ms,1ms,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",10,117.575286877s,117.574730271s,9.228259ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",1,123.572239512s,123.571290386s,14.003798ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",2,125.607829666s,125.607438995s,5.625382ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",3,124.010729647s,124.010311969s,5.10908ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",4,124.865179369s,124.864701972s,5.656436ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",5,124.775039511s,124.774647342s,5.071818ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",6,127.778934066s,127.777896893s,9.160391ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",7,124.533128699s,124.532745175s,5.587778ms,1ms,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",8,125.577010821s,125.576621822s,4.800536ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",9,127.186247927s,127.185851166s,5.210849ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",10,124.528422836s,124.527886914s,4.971347ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",1,123.970361014s,123.969940489s,4.869508ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",2,132.118933788s,132.117996994s,8.811967ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",3,122.19715159s,122.196630708s,5.214246ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",4,124.493611929s,124.493178531s,5.140583ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",5,127.46228566s,127.461891977s,5.332496ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",6,123.813610597s,123.813238526s,4.920256ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",7,123.95355788s,123.953186154s,5.10476ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",8,132.862707824s,132.861823065s,10.808428ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",9,123.979825497s,123.978894868s,8.733972ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",10,124.127796077s,124.127447074s,4.961382ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",1,243.659608316s,243.659258361s,4.829067ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",2,245.227801193s,245.227417199s,4.656995ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",3,251.796646468s,251.796295875s,4.603568ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",4,244.142275227s,244.141906072s,6.485414ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",5,240.914474144s,240.913620717s,11.54429ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",6,241.204977193s,241.204081203s,12.63036ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",7,244.782008053s,244.780946991s,9.954337ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",8,243.281042026s,243.280238772s,7.428424ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",9,242.300914113s,242.300547597s,4.50576ms,0ns,100,3761,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",10,239.620064785s,239.619208137s,7.77855ms,0ns,100,3761,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",1,117.243011593s,117.242637083s,6.559661ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",2,117.53647679s,117.536066092s,7.088922ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",3,118.611632007s,118.61124746s,8.924748ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",4,118.211404389s,118.21103455s,6.624616ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",5,118.793735732s,118.793370575s,6.534695ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",6,118.327447517s,118.327079087s,7.389351ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",7,117.87905654s,117.87867438s,6.622609ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",8,117.920154587s,117.919737968s,6.6074ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",9,118.220637346s,118.220226071s,6.3666ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",10,118.216314158s,118.215943869s,6.175247ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",1,119.537977757s,119.537597093s,6.173798ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",2,117.356296498s,117.355924445s,7.155073ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",3,118.403428211s,118.403067411s,6.340575ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",4,118.402128642s,118.401749898s,6.322578ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",5,117.675775279s,117.675403175s,6.482605ms,0ns,493,22156,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",6,118.43500449s,118.434609525s,8.420017ms,1ms,493,22156,42246255,0.00%,2344926
