Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",1,86.382106945s,86.381813874s,4.552028ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",2,86.736834639s,86.736526844s,4.401509ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",3,86.269154533s,86.268852416s,4.485876ms,1ms,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",4,86.735204507s,86.734888715s,4.549349ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",5,87.079183659s,87.078856926s,4.286079ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",6,86.402200313s,86.401904435s,5.826939ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",7,86.513874827s,86.513578989s,4.27449ms,1ms,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",8,85.773545928s,85.773252852s,5.504833ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",9,86.420781103s,86.420483408s,4.198596ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",10,86.822823059s,86.822536305s,4.441303ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",1,142.694253651s,142.693925192s,4.369145ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",2,142.920308054s,142.919986191s,4.111931ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",3,142.004768174s,142.004465969s,4.123786ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",4,143.186448152s,143.186109931s,4.055801ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",5,142.82125041s,142.820938696s,4.140274ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",6,141.47761298s,141.477302169s,4.252794ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",7,141.285723578s,141.285427487s,4.192164ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",8,141.830332947s,141.830003627s,4.350583ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",9,141.673631538s,141.673278951s,4.104348ms,0ns,100,3761,42246255,0.00%,2344951
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",10,142.208138251s,142.207797872s,4.182297ms,0ns,100,3761,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",1,70.415102756s,70.414644276s,7.913693ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",2,70.355020249s,70.354700867s,6.392447ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",3,70.41916873s,70.418862541s,6.408754ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",4,70.527243665s,70.526914632s,7.072118ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",5,70.382093837s,70.381649908s,8.631654ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",6,70.506955567s,70.506631875s,6.524638ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",7,70.43202325s,70.431693235s,6.363389ms,1ms,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",8,70.297520138s,70.297176817s,6.529367ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",9,70.594828365s,70.59450439s,6.342139ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",10,70.577473755s,70.577129798s,6.132291ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",1,70.458917143s,70.458584642s,6.408771ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",2,70.699766514s,70.699446359s,7.250187ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",3,70.398993427s,70.39866562s,6.33576ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",4,70.598524943s,70.59818929s,6.37507ms,0ns,493,22156,42246255,0.00%,2344951
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",5,70.202387771s,70.202041631s,6.358878ms,0ns,493,22156,42246255,0.00%,2344951
