Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount
"set `compiler.optimize.groupby` 'true';use testopen4gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen4gb group by testdefopen4gb.similarsmallstring;",1778.1370204000002,21.78106912869349,1778.3517857,2.7725788,0.0,1.0,63.0,4520789.0,0.0,49051.0
"use testopen4gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen4gb /*+ hash */ group by testdefopen4gb.similarsmallstring;",1814.1976373000002,27.34279503937887,1814.4215749,2.7406379999999997,0.0,1.0,63.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'false';use testopen4gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen4gb group by testdefopen4gb.normalsmallstring;",13111.364891,509.87341930485735,13111.582365900002,2.7798166,0.0,4515035.0,252841960.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'true';use testopen4gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen4gb group by testdefopen4gb.normalsmallstring;",11511.5035138,304.78714284713504,11511.7295558,2.9295798,0.0,4515035.0,252841960.0,4520789.0,0.0,49051.0
"use testopen4gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen4gb /*+ hash */ group by testdefopen4gb.normalsmallstring;",16027.842717799998,966.635327674411,16028.0722186,2.8594435,0.0,4515035.0,252841960.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'false';use testopen4gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen4gb group by testdefopen4gb.variablelengthstring;",26092.1713429,797.1889324103537,26092.395763200002,2.8369929,0.1,4520789.0,791356748.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'true';use testopen4gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen4gb group by testdefopen4gb.variablelengthstring;",24474.546561000003,993.1685851860861,24474.7211359,3.0133758,0.0,4520789.0,791356748.0,4520789.0,0.0,49051.0
"use testopen4gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen4gb /*+ hash */ group by testdefopen4gb.variablelengthstring;",75164.52198690001,1168.0072212644736,75164.69885680001,2.7001794,0.0,4520789.0,791356748.0,4520789.0,0.0,49051.0
"set `compiler.optimize.groupby` 'false';use testopen8gb; select ten, count(ten) as count from testdefopen8gb group by testdefopen8gb.ten;",5759.2699532999995,156.8083586824517,5759.431371500001,2.7463988000000006,0.0,10.0,360.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'true';use testopen8gb; select ten, count(ten) as count from testdefopen8gb group by testdefopen8gb.ten;",3343.5821586000006,26.00889354913343,3343.7465985999997,2.7335236000000003,0.1,10.0,360.0,9041708.0,0.0,98091.0
"use testopen8gb; select ten, count(ten) as count from testdefopen8gb /*+ hash */ group by testdefopen8gb.ten;",3420.3245379,27.834092190645286,3420.5005714,2.6062046000000003,0.0,10.0,360.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'false';use testopen8gb; select tenkgroups, count(tenkgroups) as count from testdefopen8gb group by testdefopen8gb.tenkgroups;",5363.4147864,220.02811884759578,5363.5792341999995,2.6665334,0.1,10000.0,428890.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'true';use testopen8gb; select tenkgroups, count(tenkgroups) as count from testdefopen8gb group by testdefopen8gb.tenkgroups;",3490.2527947999997,33.23030010043115,3490.4154942,2.6864187,0.0,10000.0,428890.0,9041708.0,0.0,98091.0
"use testopen8gb; select tenkgroups, count(tenkgroups) as count from testdefopen8gb /*+ hash */ group by testdefopen8gb.tenkgroups;",3658.0374551,23.5616434336388,3658.2139985000003,2.6392528000000004,0.0,10000.0,428890.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'false';use testopen8gb; select milliongroups, count(milliongroups) as count from testdefopen8gb group by testdefopen8gb.milliongroups;",9309.318091699999,243.75350948589576,9309.4910796,2.7933678,0.1,999910.0,46401299.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'true';use testopen8gb; select milliongroups, count(milliongroups) as count from testdefopen8gb group by testdefopen8gb.milliongroups;",8484.5755503,381.94222481180935,8484.741476600002,2.6721589999999997,0.0,999910.0,46401299.0,9041708.0,0.0,98091.0
"use testopen8gb; select milliongroups, count(milliongroups) as count from testdefopen8gb /*+ hash */ group by testdefopen8gb.milliongroups;",10089.868787300002,106.4436832649861,10090.0449319,2.5717072,0.1,999910.0,46401299.0,9041708.0,0.0,98091.0
"set `compiler.optimize.groupby` 'false';use testopen8gb; select similarstring, count(similarstring) as count from testdefopen8gb group by testdefopen8gb.similarstring;",12391.7139527,196.48907763293138,12391.8785379,2.6142363,0.0,1.0,148.0,9041708.0,0.0,98091.0
