Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount,realquery,size(gb),type,groupmemory(MB),groupbyattribute,aggregate,nc,dp
"use wisconopen2gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen2gb /*+ hash */ group by wiscondefopen2gb.similarsmallstring;",2876.8993361000003,76.2313815994598,2877.1570745,3.1484191,0.0,1.0,63.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select similarsmallstring, count(similarsmallstring) as count from wiscondefopen2gb  group by wiscondefopen2gb.similarsmallstring;",2,hash,32,similarsmallstring,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen2gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.normalsmallstring;",14706.1852418,104.98832996103287,14706.4539258,3.1257788,0.0,2257675.0,126429800.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.normalsmallstring;",2,sort,32,normalsmallstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen2gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.normalsmallstring;",12836.2915944,115.02957935622264,12836.547211,3.1362518,0.1,2257675.0,126429800.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen2gb group by wiscondefopen2gb.normalsmallstring;",2,opt,32,normalsmallstring,count,1,1
"use wisconopen2gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen2gb /*+ hash */ group by wiscondefopen2gb.normalsmallstring;",33923.887934499995,520.274694219883,33924.1512017,3.0242851,0.0,2257675.0,126429800.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select normalsmallstring, count(normalsmallstring) as count from wiscondefopen2gb  group by wiscondefopen2gb.normalsmallstring;",2,hash,32,normalsmallstring,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen2gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen2gb group by wiscondefopen2gb.variablelengthstring;",23432.461277,210.47444325733449,23432.715322,3.0996013,0.1,2260380.0,395689265.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen2gb group by wiscondefopen2gb.variablelengthstring;",2,sort,32,variablelengthstring,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen2gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen2gb group by wiscondefopen2gb.variablelengthstring;",21215.9518481,152.17365399003245,21216.2089604,3.1527782,0.0,2260380.0,395689265.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen2gb group by wiscondefopen2gb.variablelengthstring;",2,opt,32,variablelengthstring,count,1,1
"use wisconopen2gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen2gb /*+ hash */ group by wiscondefopen2gb.variablelengthstring;",108719.7689821,785.1737524892345,108720.0380683,3.1001337,0.1,2260380.0,395689265.0,2260380.0,0.0,23802.0,"use wisconopen2gb; select variablelengthstring, count(variablelengthstring) as count from wiscondefopen2gb  group by wiscondefopen2gb.variablelengthstring;",2,hash,32,variablelengthstring,count,1,1
"set `compiler.optimize.groupby` 'false';use wisconopen4gb; select ten, count(ten) as count from wiscondefopen4gb group by wiscondefopen4gb.ten;",8143.062012800001,141.51527626700624,8143.3090163,3.1029727999999994,0.3,10.0,360.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select ten, count(ten) as count from wiscondefopen4gb group by wiscondefopen4gb.ten;",4,sort,32,ten,count,1,1
"set `compiler.optimize.groupby` 'true';use wisconopen4gb; select ten, count(ten) as count from wiscondefopen4gb group by wiscondefopen4gb.ten;",5217.231424899999,145.5112446237631,5217.471592700002,3.0396336,0.0,10.0,360.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select ten, count(ten) as count from wiscondefopen4gb group by wiscondefopen4gb.ten;",4,opt,32,ten,count,1,1
"use wisconopen4gb; select ten, count(ten) as count from wiscondefopen4gb /*+ hash */ group by wiscondefopen4gb.ten;",5713.4301231,167.0617119160397,5713.679461,3.0044202,0.0,10.0,360.0,4520789.0,0.0,47600.0,"use wisconopen4gb; select ten, count(ten) as count from wiscondefopen4gb  group by wiscondefopen4gb.ten;",4,hash,32,ten,count,1,1
