Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",3,2.93076291s,2.930226754s,6.274441ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",4,2.686292375s,2.685779459s,5.174036ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",5,2.729961811s,2.729610259s,4.950637ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",6,2.678469805s,2.678066437s,4.649628ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",7,2.575928342s,2.575540286s,4.941301ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",8,2.672544984s,2.672189198s,4.712668ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",9,2.771115722s,2.770705161s,4.476613ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb group by testdefopen2gb.tenkgroups;",10,2.726396193s,2.725888125s,5.812708ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",1,2.731176789s,2.730821872s,4.497202ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",2,2.745602495s,2.745249816s,4.840988ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",3,2.803850184s,2.803498273s,4.643167ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",4,2.81487405s,2.8145261s,5.189615ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",5,2.992505662s,2.992120989s,4.464865ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",6,2.936183319s,2.935846074s,4.088735ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",7,2.921482691s,2.921138489s,4.848603ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",8,2.740096414s,2.739593668s,5.249185ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",9,2.713194474s,2.712817087s,4.287106ms,0ns,10000,428890,2260380,0.00%,24522
"use testopen2gb; select tenkgroups, count(tenkgroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.tenkgroups;",10,2.959525141s,2.959143878s,4.200303ms,0ns,10000,428890,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",1,8.149236295s,8.148889531s,4.313777ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",2,8.131719027s,8.131399111s,4.23622ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",3,8.129149092s,8.128833531s,4.535885ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",4,8.238523375s,8.238198095s,4.496522ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",5,8.198159418s,8.197827814s,4.770609ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",6,8.281389683s,8.281051346s,4.141111ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",7,8.011320733s,8.010932852s,4.414943ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",8,8.128728629s,8.128355642s,4.445687ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",9,8.166333604s,8.165996207s,4.096353ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",10,8.035483413s,8.035106044s,4.165389ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",1,7.795489313s,7.795154719s,4.165525ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",2,7.825067033s,7.824718409s,6.06986ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",3,7.890424728s,7.890122171s,4.435488ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",4,7.696278893s,7.695962779s,4.039314ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",5,7.896971404s,7.89665032s,4.137819ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",6,7.848190514s,7.847848852s,3.851295ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",7,7.905858499s,7.905503581s,4.757115ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",8,7.697806905s,7.697479323s,4.472979ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",9,7.935309191s,7.934984178s,4.213187ms,0ns,887676,40734436,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb group by testdefopen2gb.milliongroups;",10,8.072872092s,8.072522169s,4.174443ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",1,10.984832159s,10.984502766s,4.184223ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",2,11.353468291s,11.353145103s,4.130513ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",3,11.060665769s,11.060311809s,4.3232ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",4,10.833509736s,10.833164513s,3.862436ms,1ms,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",5,11.361036319s,11.360719912s,4.767363ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",6,10.848944839s,10.848528995s,4.283494ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",7,10.904046744s,10.903708303s,5.527896ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",8,10.96774941s,10.967417936s,4.039884ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",9,11.198439157s,11.198060837s,4.106276ms,0ns,887676,40734436,2260380,0.00%,24522
"use testopen2gb; select milliongroups, count(milliongroups) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.milliongroups;",10,10.812091295s,10.811771903s,4.349349ms,0ns,887676,40734436,2260380,0.00%,24522
